Date,Open,High,Low,Close,Close_Adj,Num_Transactions
2022-01-31,105.68,106.84,103.5,106.62,106.62,inf
2022-01-28,107.48,108.1,102.68,103.94,103.94,inf
2022-01-27,106.68,109.22,106.5,108.02,108.02,inf
2022-01-26,106.76,109.9,106.76,109.24,109.24,inf
2022-01-25,105.58,107.68,103.7,105.88,105.88,inf
2022-01-24,109.56,110.9,103.94,104.02,104.02,inf
2022-01-21,111.88,113.64,110.36,111.14,111.14,inf
2022-01-20,112.24,113.14,111.52,112.7,112.7,inf
2022-01-19,112.62,115.14,111.64,112.18,112.18,inf
2022-01-18,112.0,112.3,109.16,112.06,112.06,inf
2022-01-17,113.68,113.86,111.98,112.56,112.56,inf
2022-01-14,111.76,113.2,111.0,112.8,112.8,inf
2022-01-13,109.72,112.36,109.7,112.36,112.36,inf
2022-01-12,111.02,112.0,108.86,109.88,109.88,inf
2022-01-11,113.02,113.3,110.18,110.88,110.88,inf
2022-01-10,112.0,114.48,111.66,112.64,112.64,inf
2022-01-07,111.68,112.26,110.4,112.16,112.16,inf
2022-01-06,109.88,112.9,109.68,111.74,111.74,inf
2022-01-05,111.04,111.98,109.38,111.7,111.7,inf
2022-01-04,110.58,111.46,109.96,110.82,110.82,inf
2022-01-03,108.34,110.86,107.8,110.08,110.08,inf
2021-12-31,106.96,107.66,106.48,107.66,107.66,inf
2021-12-30,105.8,107.28,105.4,107.08,107.08,inf
2021-12-29,106.74,107.82,105.58,105.96,105.96,inf
2021-12-28,106.68,107.08,106.08,106.88,106.88,inf
2021-12-27,106.54,107.16,105.2,106.68,106.68,inf
2021-12-24,106.08,106.7,105.6,106.7,106.7,inf
2021-12-23,105.16,107.26,105.16,107.04,107.04,inf
2021-12-22,101.54,104.56,101.3,104.56,104.56,inf
2021-12-21,100.9,102.36,99.93,101.54,101.54,inf
2021-12-20,99.09,100.64,96.17,99.44,99.44,inf
2021-12-17,100.0,101.6,99.46,101.24,101.24,inf
2021-12-16,100.3,101.24,99.26,100.0,100.0,inf
2021-12-15,100.94,100.94,98.4,98.5,98.5,inf
2021-12-14,101.34,102.34,100.32,100.56,100.56,inf
2021-12-13,104.46,104.46,100.68,100.68,100.68,inf
2021-12-10,105.2,106.04,103.82,103.82,103.82,inf
2021-12-09,106.5,106.76,104.84,105.96,105.96,inf
2021-12-08,105.54,108.6,103.6,107.52,107.52,inf
2021-12-07,105.2,106.84,104.18,106.06,106.06,inf
2021-12-06,100.42,104.36,99.11,103.78,103.78,inf
2021-12-03,102.88,103.72,97.94,98.66,98.66,inf
2021-12-02,101.6,105.02,101.1,102.14,102.14,inf
2021-12-01,100.0,103.24,99.38,103.12,103.12,inf
2021-11-30,99.66,101.56,96.88,98.78,98.78,inf
2021-11-29,102.5,103.78,101.0,101.6,101.6,inf
2021-11-26,106.6,106.6,99.17,101.1,101.1,inf
